Start (of zoals de Russen zeggen 'начало'): 2013-11-20 21:29:17.597102
Loaded 161 entries
End: 2013-11-20 21:29:26.056390
Run: 0:00:08.459288
         6306369 function calls (6305292 primitive calls) in 8.500 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    8.500    8.500 /home/bram/program/hoehetis.nl/src/gen.py:223(main)
        1    0.196    0.196    8.021    8.021 /home/bram/program/hoehetis.nl/src/gen.py:151(groupAllEntriesForThisMonth)
   112378    3.883    0.000    7.799    0.000 /home/bram/program/hoehetis.nl/src/gen.py:133(titleMatchesKeyword)
  5560268    3.175    0.000    3.175    0.000 /home/bram/program/hoehetis.nl/src/gen.py:139(<lambda>)
   121042    0.686    0.000    0.773    0.000 /home/bram/program/hoehetis.nl/src/gen.py:33(__init__)
        1    0.004    0.004    0.364    0.364 /home/bram/program/hoehetis.nl/src/gen.py:119(determineSynonymsFor)
     1022    0.017    0.000    0.358    0.000 /home/bram/program/hoehetis.nl/src/gen.py:99(determineSynoymsForWord)
     1722    0.017    0.000    0.247    0.000 /home/bram/program/hoehetis.nl/src/gen.py:78(selectWordWithOffsetFromIn)
     1722    0.121    0.000    0.220    0.000 /home/bram/program/hoehetis.nl/src/gen.py:89(<listcomp>)
    18791    0.048    0.000    0.099    0.000 /home/bram/program/hoehetis.nl/src/gen.py:80(sel)
     1022    0.021    0.000    0.093    0.000 /home/bram/program/hoehetis.nl/src/gen.py:116(<listcomp>)
   365957    0.089    0.000    0.090    0.000 {built-in method isinstance}
        1    0.000    0.000    0.041    0.041 /home/bram/program/hoehetis.nl/src/gen.py:203(render)
    19183    0.040    0.000    0.040    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.037    0.037 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/environment.py:881(__new__)
        1    0.000    0.000    0.037    0.037 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/environment.py:835(from_string)
        1    0.000    0.000    0.036    0.036 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/environment.py:514(compile)
     7770    0.029    0.000    0.029    0.000 /home/bram/program/hoehetis.nl/src/gen.py:45(add)
      161    0.003    0.000    0.027    0.000 /home/bram/program/hoehetis.nl/src/gen.py:218(stripLessThenBestKeywords)
        1    0.000    0.000    0.023    0.023 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/environment.py:457(_parse)
    23425    0.015    0.000    0.015    0.000 /home/bram/program/hoehetis.nl/src/gen.py:56(prob)
     7966    0.014    0.000    0.014    0.000 {method 'count' of 'list' objects}
      169    0.008    0.000    0.013    0.000 {built-in method sorted}
      161    0.009    0.000    0.013    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.013    0.013 /home/bram/program/hoehetis.nl/src/gen.py:209(getNormalizedTitles)
      161    0.000    0.000    0.013    0.000 /home/bram/program/hoehetis.nl/src/gen.py:20(normalizeEntry)
        1    0.012    0.012    0.013    0.013 /home/bram/program/hoehetis.nl/src/gen.py:166(determineEntriesPerKeyword)
      161    0.001    0.000    0.012    0.000 /home/bram/program/hoehetis.nl/src/gen.py:13(normalize)
        1    0.000    0.000    0.012    0.012 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/parser.py:891(parse)
    223/2    0.001    0.000    0.012    0.006 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/visitor.py:34(visit)
